Entretien,Thème,Code,Verbatim,Fichier
Lau5,Changements dans les habitudes et les perceptions**,Procrastination pour les tâches complexes,"""Pour des tâches comme lire ou résumer un texte, je peux attendre le dernier moment""",Lau5_segment_3.txt
Lau5,Changements dans les habitudes et les perceptions**,Perception positive de l'impact de ChatGPT,"""C’est un énorme coup de pouce.""",Lau5_segment_3.txt
Lau5,Changements dans les pratiques d'apprentissage,Remise en question de l'apprentissage par cœur,"""Je pense que l’apprentissage par cœur va être remis en question.""",Lau5_segment_5.txt
Lau5,Changements dans les pratiques d'apprentissage,Évolution des méthodes d'apprentissage,"""À l’époque de nos grands-parents, ils devaient mémoriser des définitions faute de dictionnaires.""",Lau5_segment_5.txt
Lau5,Changements dans les pratiques d'apprentissage,Accès à l'information,"""Nous avons eu Internet, et maintenant ChatGPT.""",Lau5_segment_5.txt
Lau5,Changements dans les pratiques d'apprentissage,Changement dans les modalités d'évaluation,"""On nous demande moins de définitions et de par cœur, mais davantage de réflexion.""",Lau5_segment_5.txt
Lau5,Changements dans les pratiques d'apprentissage,Complexité croissante des questions,"""Les questions posées vont devenir de plus en plus complexes, nécessitant davantage de réflexion critique.""",Lau5_segment_5.txt
Lau5,Changements dans les pratiques d'apprentissage,Développement de la pensée critique,"""On va moins nous demander de mémoriser des choses et plus de faire des recherches approfondies.""",Lau5_segment_5.txt
Lau5,Changements dans les pratiques d'apprentissage,Équilibre de la charge de travail,"""La charge de travail pourrait s’équilibrer différemment.""",Lau5_segment_5.txt
Lau5,Changements dans les pratiques d'apprentissage,Nouvelles formes d'évaluation,"""Les évaluations orales prendront davantage de place.""",Lau5_segment_5.txt
Lau5,Changements dans les pratiques d'apprentissage,Meilleure évaluation de la réflexion,"""Elles permettent de mieux évaluer la réflexion et la pensée critique des étudiants.""",Lau5_segment_5.txt
Lau5,Changements dans les pratiques d'apprentissage,Défis pour les nouvelles méthodes,"""Il pourrait y avoir une perte de confiance envers les étudiants.""",Lau5_segment_5.txt
Lau5,Contexte d'utilisation de ChatGPT,Travail de bachelor,"""Notamment en lien avec ton travail de bachelor.""",Lau5_segment_5.txt
Lau5,Contexte d'utilisation de ChatGPT,Travail de master,"""Que ce soit pour un bachelor ou un master, ça reste légitime.""",Lau5_segment_5.txt
Lau5,Contexte d'utilisation de ChatGPT,Assistance sociale,"""En tant qu’assistante sociale, je l’utilise pour formuler les questions.""",Lau5_segment_5.txt
Lau5,Contexte d'utilisation de ChatGPT,Entretiens,"""Aux personnes que je rencontre en entretien.""",Lau5_segment_5.txt
Lau5,Contexte d'utilisation de ChatGPT,Réponses fidèles,"""Rester le plus fidèle possible à ce qui a été dit.""",Lau5_segment_5.txt
Lau5,Contexte d'utilisation de ChatGPT,Reformulation,"""Demander à ChatGPT de reformuler correctement.""",Lau5_segment_5.txt
Lau5,Contexte d'utilisation de ChatGPT,Adaptation à l'outil,"""Il faut un certain temps d’adaptation.""",Lau5_segment_5.txt
Lau5,Contexte d'utilisation de ChatGPT,Dépendance à l'outil,"""Je ne savais pas vraiment comment utiliser cet outil ni à quel point je pouvais en dépendre.""",Lau5_segment_5.txt
Lau5,Contexte d'utilisation de ChatGPT,Évolution de la perception,"""Maintenant, je suis beaucoup plus à l’aise avec cet usage.""",Lau5_segment_5.txt
Lau5,Contexte d'utilisation de ChatGPT,Confiance dans l'utilisation,"""Je l’utilise en toute confiance, et ce n’est plus un problème pour moi.""",Lau5_segment_5.txt
Lau5,Défis et adaptations nécessaires,Organisation et coût,"""Enseigner avec ces nouvelles formules pourrait aussi poser des défis, notamment en termes de coût et d’organisation.""",Lau5_segment_5.txt
Lau5,Défis et adaptations nécessaires,Intégration de ChatGPT dans l'académie,"""L'académie doit faire face à la réalité.""",Lau5_segment_5.txt
Lau5,Défis et adaptations nécessaires,Politique d'intégration,"""Il ne faut pas ignorer l'existence de cet outil ni penser qu'il doit être banni.""",Lau5_segment_5.txt
Lau5,Défis et adaptations nécessaires,Comparaison avec d'autres formations,"""Examiner comment cet outil est intégré dans d’autres formations et même dans d’autres pays.""",Lau5_segment_5.txt
Lau5,Défis et adaptations nécessaires,Adaptation nécessaire,"""Essayer de s’adapter ici à la HES.""",Lau5_segment_5.txt
Lau5,Défis et adaptations nécessaires,Menace de sanction,"""Ce qui me dérange, c'est qu'on me menace si je l'utilise, au risque d'avoir une mauvaise note ou que mon travail ne soit pas validé.""",Lau5_segment_5.txt
Lau5,Défis et adaptations nécessaires,Nécessité d'une politique claire,"""J'ai l'impression que c'est un peu la politique de l'autruche.""",Lau5_segment_5.txt
Lau5,Défis et adaptations nécessaires,Importance de la confiance,"""Merci également pour ta confiance, car tu m'as donné accès à tes sessions.""",Lau5_segment_5.txt
Lau5,Défis et adaptations nécessaires,Impact sur l'évaluation,"""Cela ne me dérange pas que l'on fasse comme s'il n'existait pas.""",Lau5_segment_5.txt
Lau5,Défis et adaptations nécessaires,Suggestions pour l'intégration,"""L'académie doit faire face à la réalité.""",Lau5_segment_5.txt
Lau5,Enjeux et défis liés à l'utilisation de ChatGPT**,Perception des enjeux liés à l'utilisation de ChatGPT,"""Je pense qu'ils ont peur pour la profession.""",Lau5_segment_1.txt
Lau5,Enjeux et défis liés à l'utilisation de ChatGPT**,Évaluation des défis liés à l'utilisation de ChatGPT,"""Ça donne l'impression qu'ils ne font pas confiance à notre capacité à l'utiliser correctement.""",Lau5_segment_1.txt
Lau5,Enjeux et défis liés à l'utilisation de ChatGPT**,Perception des risques liés à l'utilisation de ChatGPT,"""Je pense que certains métiers ou formations pourraient être menacés.""",Lau5_segment_1.txt
Lau5,Enjeux et défis liés à l'utilisation de ChatGPT**,Évaluation des opportunités liées à l'utilisation de ChatGPT,"""Je trouve que ChatGPT explique mieux certains concepts que mes professeurs.""",Lau5_segment_1.txt
Lau5,Enjeux et défis liés à l'utilisation de ChatGPT**,Perception de la nécessité de réguler l'utilisation de ChatGPT,"(Pas de verbatim explicite, mais on peut déduire que Jessica pense que l'utilisation de ChatGPT devrait être régulée.)",Lau5_segment_1.txt
Lau5,Enjeux et défis liés à l'utilisation de ChatGPT**,Évaluation de la nécessité de former les utilisateurs de ChatGPT,"(Pas de verbatim explicite, mais on peut déduire que Jessica pense que les utilisateurs de ChatGPT devraient être formés.)",Lau5_segment_1.txt
Lau5,Enjeux et défis liés à l'utilisation de ChatGPT**,Perception de la nécessité de prendre en compte les implications éthiques de l'utilisation de ChatGPT,"(Pas de verbatim explicite, mais on peut déduire que Jessica pense que les implications éthiques de l'utilisation de ChatGPT devraient être prises en compte.)",Lau5_segment_1.txt
Lau5,Enjeux et défis liés à l'utilisation de ChatGPT**,Perception de l'avenir de ChatGPT,"""Je pense qu'il peut encore faire des choses plus incroyables.""",Lau5_segment_1.txt
Lau5,Enjeux et défis liés à l'utilisation de ChatGPT**,Évaluation de la nécessité de réfléchir aux implications à long terme de l'utilisation de ChatGPT,"(Pas de verbatim explicite, mais on peut déduire que Jessica pense que les implications à long terme de l'utilisation de ChatGPT devraient être prises en compte.)",Lau5_segment_1.txt
Lau5,Expérience personnelle et utilisation de ChatGPT**,Fréquence d'utilisation de ChatGPT,"""Je dirais environ trois fois par semaine.""",Lau5_segment_1.txt
Lau5,Expérience personnelle et utilisation de ChatGPT**,Utilisation de ChatGPT pour les études,"""Je lui fais résumer un texte quand je n'ai pas envie de lire des pages entières.""",Lau5_segment_1.txt
Lau5,Expérience personnelle et utilisation de ChatGPT**,Utilisation de ChatGPT pour la correction de texte,"""Je l'utilise pour corriger mon français, surtout la grammaire et la syntaxe.""",Lau5_segment_1.txt
Lau5,Expérience personnelle et utilisation de ChatGPT**,Utilisation de ChatGPT pendant les périodes de stress,"""Pendant les rendus ou les périodes de stress, comme décembre et janvier, je peux l'utiliser presque tous les jours.""",Lau5_segment_1.txt
Lau5,Expérience personnelle et utilisation de ChatGPT**,Découverte de ChatGPT à travers les pairs,"""Des collègues ont commencé à m'en parler : 'C'est un outil magnifique, il faut l'utiliser, c'est essentiel.'""",Lau5_segment_1.txt
Lau5,Expérience personnelle et utilisation de ChatGPT**,Perception de l'interdiction de ChatGPT dans certaines formations,"""Ça m'a agacée. Je ne suis pas stupide, je ne vais pas soumettre un article entièrement rédigé par ChatGPT sans y apporter ma touche personnelle.""",Lau5_segment_1.txt
Lau5,Expérience personnelle et utilisation de ChatGPT**,Raisons de l'interdiction de ChatGPT,"""Je pense qu'ils ont peur pour la profession. Ils craignent que les étudiants deviennent de moins bons chercheurs, incapables de rédiger eux-mêmes des textes.""",Lau5_segment_1.txt
Lau5,Expérience personnelle et utilisation de ChatGPT**,Utilisation de ChatGPT pour la recherche,"""ChatGPT n'a pas accès à ces données, mais si on les lui fournit, il peut produire des textes très bien construits.""",Lau5_segment_1.txt
Lau5,Expérience personnelle et utilisation de ChatGPT**,Évaluation de la capacité de ChatGPT à écrire un article scientifique,"""Je pense que ChatGPT pourrait écrire un article scientifique.""",Lau5_segment_1.txt
Lau5,Expérience personnelle et utilisation de ChatGPT**,Connaissance des algorithmes de l'IA,"(La réponse est coupée, mais on peut supposer que Jessica n'a pas une connaissance approfondie des algorithmes de l'IA.)",Lau5_segment_1.txt
Lau5,Impact de ChatGPT sur la formation et la profession**,Perception de l'impact de ChatGPT sur la formation,"""Pour l'enseignement, ChatGPT prend déjà beaucoup de place.""",Lau5_segment_1.txt
Lau5,Impact de ChatGPT sur la formation et la profession**,Perception de l'impact de ChatGPT sur la profession,"""Je pense que certains métiers ou formations pourraient être menacés.""",Lau5_segment_1.txt
Lau5,Impact de ChatGPT sur la formation et la profession**,Évaluation de la capacité de ChatGPT à remplacer certaines tâches,"""ChatGPT peut dépasser l'humain pour certaines choses.""",Lau5_segment_1.txt
Lau5,Impact de ChatGPT sur la formation et la profession**,Limites de ChatGPT dans certaines professions,"""Il y aura toujours des domaines où il manque des éléments, comme l'empathie ou l'émotionnel.""",Lau5_segment_1.txt
Lau5,Impact de ChatGPT sur la formation et la profession**,Perception de la nécessité de former les étudiants à l'utilisation de ChatGPT,"(Pas de verbatim explicite, mais on peut déduire que Jessica pense que les étudiants devraient être formés à utiliser ChatGPT de manière responsable.)",Lau5_segment_1.txt
Lau5,Impact de ChatGPT sur la formation et la profession**,Évaluation de la position des enseignants face à ChatGPT,"""Les profs ne mentionnaient pas cet outil.""",Lau5_segment_1.txt
Lau5,Impact de ChatGPT sur la formation et la profession**,Perception de la confiance accordée aux étudiants pour utiliser ChatGPT,"""Ça donne l'impression qu'ils ne font pas confiance à notre capacité à l'utiliser correctement.""",Lau5_segment_1.txt
Lau5,Impact de ChatGPT sur la formation et la profession**,Évaluation de la capacité de ChatGPT à améliorer les compétences des étudiants,"(Pas de verbatim explicite, mais on peut déduire que Jessica pense que ChatGPT peut être un outil utile pour les étudiants.)",Lau5_segment_1.txt
Lau5,Impact de ChatGPT sur la formation et la profession**,Perception de l'avenir de ChatGPT dans la formation et la profession,"""Je pense qu'il peut encore faire des choses plus incroyables.""",Lau5_segment_1.txt
Lau5,Impact de ChatGPT sur la formation et la profession**,Évaluation de la nécessité de réfléchir aux implications éthiques de l'utilisation de ChatGPT,"(Pas de verbatim explicite, mais on peut déduire que Jessica pense que les implications éthiques de l'utilisation de ChatGPT devraient être prises en compte.)",Lau5_segment_1.txt
Lau5,Impact sur l'apprentissage personnel et le bien-être**,Bien-être,"""Il y a aussi un aspect de bien-être, n’est-ce pas ?""",Lau5_segment_4.txt
Lau5,Impact sur l'apprentissage personnel et le bien-être**,Réduction du stress,"""Ça aide beaucoup. J’ai moins d’anxiété.""",Lau5_segment_4.txt
Lau5,Impact sur l'apprentissage personnel et le bien-être**,Satisfaction,"""Je suis plus rassurée sur la qualité rédactionnelle.""",Lau5_segment_4.txt
Lau5,Impact sur l'apprentissage personnel et le bien-être**,Utilisation non abusive,"""Je ne suis pas accro.""",Lau5_segment_4.txt
Lau5,Impact sur l'apprentissage personnel et le bien-être**,Utilité pour les travaux,"""Je l’utilise uniquement pour m’aider à avancer dans mes travaux à rendre.""",Lau5_segment_4.txt
Lau5,Impact sur l'apprentissage personnel et le bien-être**,Perception positive de l'aide,"""Tant mieux pour nous.""",Lau5_segment_4.txt
Lau5,Impact sur l'apprentissage personnel et le bien-être**,Pas de sentiment de tricherie,"""Utiliser ChatGPT pour rendre des travaux, même si une partie du travail repose sur l’outil, ne me dérange pas.""",Lau5_segment_4.txt
Lau5,Impact sur l'apprentissage personnel et le bien-être**,Importance des compétences humaines,"""Dans le travail social, il n’y a pas que l’académique qui compte.""",Lau5_segment_4.txt
Lau5,Impact sur l'apprentissage personnel et le bien-être**,Équilibre entre théorie et pratique,"""Être un bon travailleur social ne dépend pas uniquement de tes résultats sur papier.""",Lau5_segment_4.txt
Lau5,Impact sur l'apprentissage personnel et le bien-être**,Satisfaction globale,"""Pour moi, c’est légitime.""",Lau5_segment_4.txt
Lau5,Impact sur le travail universitaire et l'apprentissage**,Modification de la manière de travailler,"""Ça a clairement modifié ma façon de travailler.""",Lau5_segment_3.txt
Lau5,Impact sur le travail universitaire et l'apprentissage**,Aide à la structuration des idées,"""Ça me force à être plus au clair sur ce que je veux dire.""",Lau5_segment_3.txt
Lau5,Impact sur le travail universitaire et l'apprentissage**,Utilisation pour les travaux universitaires,"""J’ai utilisé ChatGPT pendant un moment libre en classe.""",Lau5_segment_3.txt
Lau5,Impact sur le travail universitaire et l'apprentissage**,Gain de temps pour d'autres activités,"""Ça m’a permis de libérer du temps pour mon week-end.""",Lau5_segment_3.txt
Lau5,Impact sur le travail universitaire et l'apprentissage**,Amélioration de la compréhension des consignes,"""Ça me permet de mieux comprendre les consignes""",Lau5_segment_3.txt
Lau5,Impact sur le travail universitaire et l'apprentissage**,Utilisation pour la reformulation de textes,"""On demandait à ChatGPT de reformuler ou de nous donner d’autres idées.""",Lau5_segment_3.txt
Lau5,Impact sur le travail universitaire et l'apprentissage**,Impact sur la gestion du temps personnel,"""Je préfère finir certaines tâches en avance pour avoir l’esprit tranquille""",Lau5_segment_3.txt
Lau5,Impact sur le travail universitaire et l'apprentissage**,Proactivité dans les travaux impliquants,"""Pour des travaux plus impliquants, je suis plus proactive.""",Lau5_segment_3.txt
Lau5,Impact sur le travail universitaire et l'apprentissage**,Diminution du stress lié aux échéances,"""C’est un énorme coup de pouce. Je sais que cet outil est là pour m’aider""",Lau5_segment_3.txt
Lau5,Impact sur le travail universitaire et l'apprentissage**,Efficacité dans le travail,"""Au lieu de passer cinq heures sur un travail, je peux n’y passer que trois heures.""",Lau5_segment_3.txt
Lau5,Impact sur les compétences et la réussite académique**,Progrès rédactionnel,"""ChatGPT m’a appris à mieux rédiger, surtout avec le travail de bachelor.""",Lau5_segment_4.txt
Lau5,Impact sur les compétences et la réussite académique**,Sentiment de compétence,"""Je ne dirais pas que ça m’a rendue plus bête.""",Lau5_segment_4.txt
Lau5,Impact sur les compétences et la réussite académique**,Dépendance à ChatGPT,"""Oui, mais ça ne me dérange pas du tout.""",Lau5_segment_4.txt
Lau5,Impact sur les compétences et la réussite académique**,Perception de sa propre intelligence,"""Être malin, c’est aussi savoir utiliser les outils disponibles autour de toi.""",Lau5_segment_4.txt
Lau5,Impact sur les compétences et la réussite académique**,Effet sur l'anxiété,"""Ça aide beaucoup. J’ai moins d’anxiété.""",Lau5_segment_4.txt
Lau5,Impact sur les compétences et la réussite académique**,Qualité du travail,"""Je suis plus rassurée sur la qualité rédactionnelle.""",Lau5_segment_4.txt
Lau5,Impact sur les compétences et la réussite académique**,Reconnaissance de la limite de ChatGPT,"""Si toi, tu n’as rien compris au sujet, l’outil ne va pas deviner ce que ton professeur attend exactement.""",Lau5_segment_4.txt
Lau5,Impact sur les compétences et la réussite académique**,Responsabilité personnelle,"""Il faut être responsable de sa réussite.""",Lau5_segment_4.txt
Lau5,Impact sur les compétences et la réussite académique**,Effet sur la paresse,"""Peut-être un peu plus paresseuse.""",Lau5_segment_4.txt
Lau5,Impact sur les compétences et la réussite académique**,Évaluation globale positive,"""Pour moi, ce n’est pas une dépendance problématique.""",Lau5_segment_4.txt
Lau5,Interaction avec ChatGPT et formulation des requêtes,Importance de la formulation des requêtes,"""Si tu n’as pas la réponse que tu veux, c’est que tu as mal formulé ta question.""",Lau5_segment_2.txt
Lau5,Interaction avec ChatGPT et formulation des requêtes,Utilisation de ChatGPT pour obtenir des informations précises,"""J’avais besoin d’une réponse plus détaillée et précise pour expliquer dans mon rapport pourquoi il est préférable de faire autrement.""",Lau5_segment_2.txt
Lau5,Interaction avec ChatGPT et formulation des requêtes,Demande d'explication sur des concepts spécifiques,"""J’ai demandé à ChatGPT de m’expliquer 'l’invention de l’homosexualité' selon l’auteur.""",Lau5_segment_2.txt
Lau5,Interaction avec ChatGPT et formulation des requêtes,Utilisation des listes à puces pour structurer le discours,"""Les listes à puces m’aident à structurer mon discours.""",Lau5_segment_2.txt
Lau5,Interaction avec ChatGPT et formulation des requêtes,Demande de développement sur des points spécifiques,"""Parfois, ses réponses sont trop courtes. J’avais besoin qu’il m’apporte plus de détails.""",Lau5_segment_2.txt
Lau5,Interaction avec ChatGPT et formulation des requêtes,Satisfaction des réponses fournies par ChatGPT,"""Oui, elles étaient efficaces. J’ai obtenu les informations dont j’avais besoin.""",Lau5_segment_2.txt
Lau5,Interaction avec ChatGPT et formulation des requêtes,Fermeture du chat après obtention des résultats,"""Quand j’obtiens une réponse satisfaisante, je termine le chat immédiatement.""",Lau5_segment_2.txt
Lau5,Interaction avec ChatGPT et formulation des requêtes,Réouverture d'un nouveau chat pour clarifier les idées,"""C’est arrivé récemment quand je travaillais sur une question de recherche.""",Lau5_segment_2.txt
Lau5,Interaction avec ChatGPT et formulation des requêtes,Collaboration avec ChatGPT pour ajuster les questions,"""Je co-construisais cette question avec ChatGPT, en ajustant au fur et à mesure.""",Lau5_segment_2.txt
Lau5,Interaction avec ChatGPT et formulation des requêtes,Limite dans la conservation des informations par ChatGPT,"""Je ne vois pas ChatGPT comme un outil qui pourrait garder en mémoire ce que tu lui demandes pour une utilisation future.""",Lau5_segment_2.txt
Lau5,Limites et défis rencontrés avec ChatGPT**,Difficultés de formulation des demandes,"""J’avais mal formulé ma demande.""",Lau5_segment_3.txt
Lau5,Limites et défis rencontrés avec ChatGPT**,Limites technologiques de ChatGPT,"""ChatGPT ne peut pas les lire [les photocopies de livres], et ça peut être agaçant.""",Lau5_segment_3.txt
Lau5,Limites et défis rencontrés avec ChatGPT**,Frustrations liées à l'utilisation,"""Il y a eu des moments où je n’arrivais pas à faire comprendre à ChatGPT ce que je voulais.""",Lau5_segment_3.txt
Lau5,Limites et défis rencontrés avec ChatGPT**,Nécessité de vérifier les informations,"""Je me méfie un peu de ses capacités à inventer ou à fournir des sources""",Lau5_segment_3.txt
Lau5,Limites et défis rencontrés avec ChatGPT**,Utilisation prudente de ChatGPT,"""Je ne lui demande jamais de m’inventer des choses.""",Lau5_segment_3.txt
Lau5,Limites et défis rencontrés avec ChatGPT**,Limite dans les tâches complexes,"""Je ne lui demande rien de trop complexe.""",Lau5_segment_3.txt
Lau5,Limites et défis rencontrés avec ChatGPT**,Utilisation pour des tâches spécifiques,"""C’était surtout pour corriger ou améliorer ce qu’on avait déjà écrit.""",Lau5_segment_3.txt
Lau5,Limites et défis rencontrés avec ChatGPT**,Pas de défi majeur dans l'utilisation,"""Pas vraiment, ça va.""",Lau5_segment_3.txt
Lau5,Limites et défis rencontrés avec ChatGPT**,Nécessité de formuler clairement les demandes,"""Je prends le temps d’expliquer clairement mes attentes""",Lau5_segment_3.txt
Lau5,Limites et défis rencontrés avec ChatGPT**,Conscience des limites de ChatGPT,"""Je sais que ChatGPT peut m’aider rapidement, mais parfois je fais quand même les choses moi-même.""",Lau5_segment_3.txt
Lau5,Perception de ChatGPT comme outil d'apprentissage,Perception de ChatGPT comme un outil d'aide,"""Pour moi, ChatGPT est un moteur de recherche hyper puissant.""",Lau5_segment_2.txt
Lau5,Perception de ChatGPT comme outil d'apprentissage,Collaboration avec ChatGPT pour la formulation de questions,"""Je co-construisais cette question avec ChatGPT, en ajustant au fur et à mesure.""",Lau5_segment_2.txt
Lau5,Perception de ChatGPT comme outil d'apprentissage,Utilisation pour obtenir des informations précises,"""J’avais besoin d’une réponse plus détaillée et précise.""",Lau5_segment_2.txt
Lau5,Perception de ChatGPT comme outil d'apprentissage,Satisfaction des réponses obtenues,"""Oui, elles étaient efficaces.""",Lau5_segment_2.txt
Lau5,Perception de ChatGPT comme outil d'apprentissage,Préférence pour l'utilisation de ChatGPT par rapport aux notes de cours,"""C’était plus rapide de demander à ChatGPT.""",Lau5_segment_2.txt
Lau5,Perception de ChatGPT comme outil d'apprentissage,Utilisation de ChatGPT pour structurer les présentations,"""Les listes à puces m’aident à structurer mon discours.""",Lau5_segment_2.txt
Lau5,Perception de ChatGPT comme outil d'apprentissage,Limite dans la mémorisation des informations par ChatGPT,"""Je ne vois pas ChatGPT comme un outil qui pourrait garder en mémoire ce que tu lui demandes pour une utilisation future.""",Lau5_segment_2.txt
Lau5,Perception de ChatGPT comme outil d'apprentissage,Potentiel d'utilisation future,"""Je pense que je pourrais envisager de l’utiliser plus souvent pour ce genre de tâche.""",Lau5_segment_2.txt
Lau5,Perception de ChatGPT et de son utilisation**,Utilité de ChatGPT,"""C’est comme un professeur privé, mais gratuit et accessible à tout moment.""",Lau5_segment_4.txt
Lau5,Perception de ChatGPT et de son utilisation**,Facilité d'accès,"""Tu peux aller à Starbucks avec ton téléphone et utiliser leur Wi-Fi.""",Lau5_segment_4.txt
Lau5,Perception de ChatGPT et de son utilisation**,Perception positive,"""Je trouve que c’est un outil formidable.""",Lau5_segment_4.txt
Lau5,Perception de ChatGPT et de son utilisation**,Gain de temps,"""Ça aide beaucoup. J’ai moins d’anxiété, surtout pour commencer des travaux de rédaction.""",Lau5_segment_4.txt
Lau5,Perception de ChatGPT et de son utilisation**,Utilisation responsable,"""Je l’utilise uniquement pour m’aider à avancer dans mes travaux à rendre.""",Lau5_segment_4.txt
Lau5,Perception de ChatGPT et de son utilisation**,Légitimité d'utilisation,"""Dès le moment où ça m’aide, pour moi, c’est légitime.""",Lau5_segment_4.txt
Lau5,Perception de ChatGPT et de son utilisation**,Satisfaction personnelle,"""Je serais très contente pour moi.""",Lau5_segment_4.txt
Lau5,Perception de ChatGPT et de son utilisation**,Comparaison avec d'autres outils,"""On n’est plus au Moyen Âge.""",Lau5_segment_4.txt
Lau5,Perception de ChatGPT et de son utilisation**,Aisance avec la technologie,"""Je suis très à l’aise avec ça.""",Lau5_segment_4.txt
Lau5,Perception de ChatGPT et de son utilisation**,Évaluation positive de l'impact,"""ChatGPT m’a appris à mieux rédiger.""",Lau5_segment_4.txt
Lau5,Perception de l'utilité de ChatGPT,Utilité pour générer des idées,"""Il propose plusieurs solutions et pistes que je n’aurais peut-être même pas envisagées seule.""",Lau5_segment_5.txt
Lau5,Perception de l'utilité de ChatGPT,Légitimité dans les travaux académiques,"""Si son utilisation reste dans le cadre de l’aide rédactionnelle ou pour générer des idées, c’est totalement légitime.""",Lau5_segment_5.txt
Lau5,Perception de l'utilité de ChatGPT,Limites de l'utilisation,"""Mais dans un cadre d’assistance et d’appui, c’est légitime dans tous les contextes.""",Lau5_segment_5.txt
Lau5,Perception de l'utilité de ChatGPT,Condition d'utilisation éthique,"""Tant que ça aide à structurer ou améliorer un travail.""",Lau5_segment_5.txt
Lau5,Perception de l'utilité de ChatGPT,Aide à la rédaction,"""Je l’utilise pour formuler les questions.""",Lau5_segment_5.txt
Lau5,Perception de l'utilité de ChatGPT,Fidélité aux réponses,"""Je pense qu’il faut rester le plus fidèle possible à ce qui a été dit.""",Lau5_segment_5.txt
Lau5,Perception de l'utilité de ChatGPT,Utilisation pour reformuler,"""Je peux demander à ChatGPT de reformuler correctement.""",Lau5_segment_5.txt
Lau5,Perception de l'utilité de ChatGPT,Précaution dans l'utilisation,"""En lui précisant de ne pas trop changer mes mots d’origine.""",Lau5_segment_5.txt
Lau5,Perception de l'utilité de ChatGPT,Génération d'idées,"""C’est cet aspect qui est particulièrement intéressant.""",Lau5_segment_5.txt
Lau5,Perception de l'utilité de ChatGPT,Assistance dans le travail,"""C’est un outil génial, et je suis complètement à l’aise avec ça aujourd’hui.""",Lau5_segment_5.txt
Lau5,Perception et compréhension de l'IA et de ChatGPT,Définition de l'IA,"""L'intelligence artificielle englobe bien plus que ChatGPT. Elle peut être utilisée dans des domaines comme les robots ou les voitures autonomes.""",Lau5_segment_2.txt
Lau5,Perception et compréhension de l'IA et de ChatGPT,Rôle de ChatGPT dans l'IA,"""ChatGPT est juste une petite partie de l'IA.""",Lau5_segment_2.txt
