Entretien,Thème,Code,Verbatim,Fichier
D2SN1,2: Perception de l'Intelligence Artificielle (IA),9: Facilité d'Usage,C'est devenu un outil indispensable et vraiment très efficace.,D2SN1_segment_1.txt
D2SN1,2: Perception de l'Intelligence Artificielle (IA),10: Fréquence d'Utilisation,Je l'utilise de manière quotidienne.,D2SN1_segment_1.txt
D2SN1,3: Relation à la Technologie,1: Auto-Définition comme Technophile,Je me décrirai comme un peu un technophile.,D2SN1_segment_1.txt
D2SN1,3: Relation à la Technologie,2: Goût pour la Technologie,J'aime beaucoup tout ce qui est attaché à la technologie.,D2SN1_segment_1.txt
D2SN1,3: Relation à la Technologie,3: Utilisation dans le Cadre de la Filière,"Dans ma filière, on utilise beaucoup ces technologies, que ce soit pour la réalisation de projets ou des présentations.",D2SN1_segment_1.txt
D2SN1,3: Relation à la Technologie,4: Importance de la Technologie dans le Domaine,"Étant donné que je suis dans le domaine data et marketing digital, on utilise beaucoup la technologie.",D2SN1_segment_1.txt
D2SN1,3: Relation à la Technologie,5: Utilisation de Logiciels Divers,On utilise beaucoup de logiciels pour nos projets.,D2SN1_segment_1.txt
D2SN1,3: Relation à la Technologie,6: Compétences Technologiques,J'ai développé des compétences dans l'utilisation de divers outils technologiques.,D2SN1_segment_1.txt
D2SN1,3: Relation à la Technologie,7: Contexte d'Utilisation,"Dans mon université, la technologie est omniprésente.",D2SN1_segment_1.txt
D2SN1,3: Relation à la Technologie,8: Proactivité,Je suis proactif dans l'adoption de nouvelles technologies.,D2SN1_segment_1.txt
D2SN1,3: Relation à la Technologie,9: Ouverture d'Esprit,Je suis ouvert à apprendre et à utiliser de nouvelles technologies.,D2SN1_segment_1.txt
D2SN1,3: Relation à la Technologie,10: Lien entre Technologie et Progrès,La technologie est un élément clé pour progresser dans mon domaine.,D2SN1_segment_1.txt
D2SN1,4: Découverte et Utilisation de Chat GPT,1: Moment de Découverte,J'ai découvert Chat GPT en 2022 ou 2023 lorsque j'étais en alternance chez Télétech.,D2SN1_segment_1.txt
D2SN1,4: Découverte et Utilisation de Chat GPT,2: Contexte de Découverte,"Ça avait fait le buzz sur la toile, tout le monde en parlait.",D2SN1_segment_1.txt
D2SN1,4: Découverte et Utilisation de Chat GPT,4: Intérêt pour la Technologie,Je suis allé voir ce que c'était par curiosité.,D2SN1_segment_1.txt
D2SN1,4: Découverte et Utilisation de Chat GPT,5: Discussion avec les Pairs,On en parlait déjà durant la pause de midi.,D2SN1_segment_1.txt
D2SN1,4: Découverte et Utilisation de Chat GPT,6: Perception de l'Innovation,C'était une nouvelle intelligence artificielle qui permettait de répliquer l'intelligence humaine.,D2SN1_segment_1.txt
D2SN1,4: Découverte et Utilisation de Chat GPT,7: Adoption,J'ai commencé à l'utiliser régulièrement.,D2SN1_segment_1.txt
D2SN1,4: Découverte et Utilisation de Chat GPT,8: Intégration dans le Travail,C'est devenu un outil indispensable dans mon quotidien.,D2SN1_segment_1.txt
D2SN1,4: Découverte et Utilisation de Chat GPT,9: Utilité,Je l'utilise pour diverses tâches.,D2SN1_segment_1.txt
D2SN1,4: Découverte et Utilisation de Chat GPT,10: Impact sur le Travail,Cela a changé la manière dont je travaille.,D2SN1_segment_1.txt
D2SN1,5: Impact de la Technologie sur le Travail et les Études,1: Changement dans les Méthodes de Travail,L'utilisation de Chat GPT a changé ma façon de travailler.,D2SN1_segment_1.txt
D2SN1,5: Impact de la Technologie sur le Travail et les Études,2: Efficacité,C'est beaucoup plus efficace qu'avant.,D2SN1_segment_1.txt
D2SN1,5: Impact de la Technologie sur le Travail et les Études,3: Gain de Temps,Je gagne du temps dans mes tâches quotidiennes.,D2SN1_segment_1.txt
D2SN1,5: Impact de la Technologie sur le Travail et les Études,4: Amélioration des Compétences,Cela m'a aidé à améliorer mes compétences.,D2SN1_segment_1.txt
D2SN1,5: Impact de la Technologie sur le Travail et les Études,5: Nouveaux Outils,J'ai découvert de nouveaux outils grâce à Chat GPT.,D2SN1_segment_1.txt
D2SN1,5: Impact de la Technologie sur le Travail et les Études,6: Changement dans l'Approche des Problèmes,Je résous les problèmes différemment maintenant.,D2SN1_segment_1.txt
D2SN1,5: Impact de la Technologie sur le Travail et les Études,7: Augmentation de la Productivité,Je suis plus productif dans mon travail.,D2SN1_segment_1.txt
D2SN1,5: Impact de la Technologie sur le Travail et les Études,8: Meilleure Compréhension,J'ai une meilleure compréhension des concepts maintenant.,D2SN1_segment_1.txt
D2SN1,5: Impact de la Technologie sur le Travail et les Études,9: Capacité d'Adaptation,J'ai développé ma capacité à m'adapter à de nouvelles situations.,D2SN1_segment_1.txt
D2SN1,5: Impact de la Technologie sur le Travail et les Études,10: Évolution Professionnelle,Cela a contribué à mon évolution professionnelle.,D2SN1_segment_1.txt
D2SN1,**Utilisation de Chat GPT pour la recherche et la rédaction**,1: Utilisation pour la recherche,pour de la recherche notamment sur nos projets de mémoire recherche,D2SN1_segment_2.txt
D2SN1,**Utilisation de Chat GPT pour la recherche et la rédaction**,2: Utilisation pour l'inspiration,quand on n'a pas d'inspiration sur des présentations par exemple,D2SN1_segment_2.txt
D2SN1,**Utilisation de Chat GPT pour la recherche et la rédaction**,3: Utilisation pour la rédaction,"tout ce qui est rédaction de pitch, rédaction d'offre commercial",D2SN1_segment_2.txt
D2SN1,**Utilisation de Chat GPT pour la recherche et la rédaction**,4: Utilisation pour les projets,on utilise vraiment cette technologie pour tout euh pour tous les projets qu'on entame,D2SN1_segment_2.txt
D2SN1,**Utilisation de Chat GPT pour la recherche et la rédaction**,5: Gain de temps,un gain de temps et beaucoup d'efficacité,D2SN1_segment_2.txt
D2SN1,**Utilisation de Chat GPT pour la recherche et la rédaction**,6: Extension de Chat GPT,il y a une extension qui s'appelle Scholar GPT qui permettait de découvrir des recherches scientifiques liées à notre problématique,D2SN1_segment_2.txt
D2SN1,**Utilisation de Chat GPT pour la recherche et la rédaction**,7: Aide à la recherche académique,chat GPT m'a beaucoup aidé notamment avec les extensions,D2SN1_segment_2.txt
D2SN1,**Utilisation de Chat GPT pour la recherche et la rédaction**,8: Utilisation pour les tâches,pour toutes les tâches qu'on entreprend,D2SN1_segment_2.txt
D2SN1,**Utilisation de Chat GPT pour la recherche et la rédaction**,9: Facilitation du travail,c'était un gain de temps et beaucoup d'efficacité,D2SN1_segment_2.txt
D2SN1,**Utilisation de Chat GPT pour la recherche et la rédaction**,10: Amélioration de la productivité,beaucoup de temps de temps gagner de regagner,D2SN1_segment_2.txt
D2SN1,**Impact sur la façon de travailler**,1: Changement dans la façon de travailler,Chat GPT a modifié ma façon de travailler,D2SN1_segment_2.txt
D2SN1,**Impact sur la façon de travailler**,2: Gain de temps,c'est un gain de temps considérable,D2SN1_segment_2.txt
D2SN1,**Impact sur la façon de travailler**,3: Fénéantise,ça apporte une certaine certaines fénéantises dans le sens où euh on peut on peut faire un prompt et directement avoir des réponses directes,D2SN1_segment_2.txt
D2SN1,**Impact sur la façon de travailler**,4: Réponses précises,j'ai des réponses qui sont beaucoup plus précises,D2SN1_segment_2.txt
D2SN1,**Impact sur la façon de travailler**,5: Répartition des tâches,je peux faire des tâches à côté qui sont qui sont plus chronophages ou bien qui a qui demandent plus de compétences,D2SN1_segment_2.txt
D2SN1,**Impact sur la façon de travailler**,6: Utilisation de Chat GPT comme outil de travail,je pense directement à comment je vais utiliser de chat GPT euh lors de mon travail,D2SN1_segment_2.txt
D2SN1,**Impact sur la façon de travailler**,7: Changement dans la recherche d'information,plutôt que de faire des recherches de mon côté qui me pourraient prendre beaucoup plus de temps,D2SN1_segment_2.txt
D2SN1,**Impact sur la façon de travailler**,8: Optimisation du temps de travail,ça l'a modifié dans le sens où c'est un gain de temps considérable,D2SN1_segment_2.txt
D2SN1,**Impact sur la façon de travailler**,10: Automatisation du travail,chat GPT en gros fait 80 % du travail presque,D2SN1_segment_2.txt
D2SN1,**Limitations de Chat GPT**,1: Limite dans les sujets mathématiques,"pour des questions euh des sujets mathématiques, ce n’est pas c'est pas la solution la plus adaptée",D2SN1_segment_2.txt
D2SN1,**Limitations de Chat GPT**,2: Limite dans les recherches approfondies,"si on doit faire des recherches très poussées, Chat GPT peut nous donner la base mais ne fera pas il y aura toujours un travail à faire de notre côté",D2SN1_segment_2.txt
D2SN1,**Limitations de Chat GPT**,3: Compréhension des limites de l'IA,faut juste comprendre que l'intelligence artificielle fonctionne comme cela,D2SN1_segment_2.txt
D2SN1,**Limitations de Chat GPT**,4: Nécessité de recherches complémentaires,on est obligé de faire de notre côté des recherches euh des recherches alternatives et complémentaires au travail entre guillemets déjà effectué par CHGPT,D2SN1_segment_2.txt
D2SN1,**Limitations de Chat GPT**,5: Frustration face aux limites,frustration sur des recherches plus approfondies,D2SN1_segment_2.txt
D2SN1,**Limitations de Chat GPT**,6: Acceptation des limites,"je pense que c'est normal, les les ne remplaceront pas tout le travail humain",D2SN1_segment_2.txt
D2SN1,**Limitations de Chat GPT**,7: Utilisation appropriée de Chat GPT,il faut comprendre que l'intelligence artificielle fonctionne comme cela,D2SN1_segment_2.txt
D2SN1,**Limitations de Chat GPT**,8: Complémentarité entre Chat GPT et le travail humain,il y aura toujours un travail à faire de notre côté,D2SN1_segment_2.txt
D2SN1,**Limitations de Chat GPT**,9: Limite dans l'automatisation,ne pourra pas faire 100 % du travail,D2SN1_segment_2.txt
D2SN1,**Limitations de Chat GPT**,10: Nécessité de travail humain,on est obligé de faire de notre côté des recherches,D2SN1_segment_2.txt
D2SN1,1: Utilisation de Chat GPT comme Outil d'Apprentissage,1: Gain de temps,c'est un gain de temps.,D2SN1_segment_3.txt
D2SN1,1: Utilisation de Chat GPT comme Outil d'Apprentissage,2: Disponibilité,"disponible 24h/24, 7 jours sur 7",D2SN1_segment_3.txt
D2SN1,1: Utilisation de Chat GPT comme Outil d'Apprentissage,3: Assistance personnalisée,comme un professeur particulier disponible 24h sur 24,D2SN1_segment_3.txt
D2SN1,1: Utilisation de Chat GPT comme Outil d'Apprentissage,4: Réduction du stress,ça soulage plutôt le stress lié aux échéances académiques,D2SN1_segment_3.txt
D2SN1,1: Utilisation de Chat GPT comme Outil d'Apprentissage,5: Complémentarité avec l'enseignement formel,"on a un professeur qui présente son module en une semaine, mais ce n’est pas en une semaine qu'on apprend.",D2SN1_segment_3.txt
D2SN1,1: Utilisation de Chat GPT comme Outil d'Apprentissage,6: Risque de procrastination,ça peut être un couteau double tranchant.,D2SN1_segment_3.txt
D2SN1,1: Utilisation de Chat GPT comme Outil d'Apprentissage,7: Organisation personnelle,je suis quelqu'un d'assez organisé dans le sens où je fais les choses en avance,D2SN1_segment_3.txt
D2SN1,1: Utilisation de Chat GPT comme Outil d'Apprentissage,8: Utilisation complémentaire d'autres IA,"je fais en sorte aussi de travailler avec les autres IA, d'autres sociétés",D2SN1_segment_3.txt
D2SN1,1: Utilisation de Chat GPT comme Outil d'Apprentissage,9: Validation des réponses,je fais des recherches sur internet pour les réponses qui me semblent un peu orientées ou un peu biaisées.,D2SN1_segment_3.txt
D2SN1,1: Utilisation de Chat GPT comme Outil d'Apprentissage,10: Formulation des questions,j'essaie vraiment de donner un maximum de contexte pour permettre à chat GPT de répondre de manière efficace,D2SN1_segment_3.txt
D2SN1,2: Évaluation de la Qualité et de la Fiabilité de Chat GPT,1: Comparaison avec d'autres sources,je fais des recherches sur internet pour vérifier les réponses,D2SN1_segment_3.txt
D2SN1,2: Évaluation de la Qualité et de la Fiabilité de Chat GPT,2: Utilisation de plusieurs IA,"je travaille avec les autres IA, d'autres sociétés notamment Mistral",D2SN1_segment_3.txt
D2SN1,2: Évaluation de la Qualité et de la Fiabilité de Chat GPT,3: Critère de fiabilité,les réponses qui me semblent un peu orientées ou un peu biaisées,D2SN1_segment_3.txt
D2SN1,2: Évaluation de la Qualité et de la Fiabilité de Chat GPT,4: Appréciation générale,"franchement sur les explications que donne Chat GPT sur certains sujets, on peut difficilement trouver mieux",D2SN1_segment_3.txt
D2SN1,2: Évaluation de la Qualité et de la Fiabilité de Chat GPT,5: Capacité de vulgarisation,Chat GPT arrive à donner une réponse ou bien une explication qui est beaucoup plus vulgarisée que certains profs,D2SN1_segment_3.txt
D2SN1,2: Évaluation de la Qualité et de la Fiabilité de Chat GPT,6: Utilité pour les explications complexes,explique-moi ce sujet comme si j'étais un enfant de 5 ans,D2SN1_segment_3.txt
D2SN1,2: Évaluation de la Qualité et de la Fiabilité de Chat GPT,7: Art de l'explication,c'est vraiment un art en fait que certains profs n'ont pas naturellement,D2SN1_segment_3.txt
D2SN1,2: Évaluation de la Qualité et de la Fiabilité de Chat GPT,8: Limitations perçues,pas spécialement [pas de cas où GPT l'a incité à être plus critique],D2SN1_segment_3.txt
D2SN1,2: Évaluation de la Qualité et de la Fiabilité de Chat GPT,9: Impact sur la pensée critique,"Non, pas spécialement. J'ai pas d'exemple en tête",D2SN1_segment_3.txt
D2SN1,2: Évaluation de la Qualité et de la Fiabilité de Chat GPT,10: Valeur ajoutée,"je dirais que ouais, c'est un accompagnement qu'on peut solliciter à tout moment",D2SN1_segment_3.txt
D2SN1,3: Impact de Chat GPT sur les Habitudes de Travail,1: Changement dans l'approche,Modifiez-vous parfois votre approche d'un sujet ou votre méthode de travail ?,D2SN1_segment_3.txt
D2SN1,3: Impact de Chat GPT sur les Habitudes de Travail,2: Interaction avec Chat GPT,j'essaie de donner un maximum de contexte pour permettre à chat GPT de répondre,D2SN1_segment_3.txt
D2SN1,3: Impact de Chat GPT sur les Habitudes de Travail,3: Effet sur la procrastination,ça peut être un couteau double tranchant,D2SN1_segment_3.txt
D2SN1,3: Impact de Chat GPT sur les Habitudes de Travail,4: Organisation et planification,je fais les choses en avance,D2SN1_segment_3.txt
D2SN1,3: Impact de Chat GPT sur les Habitudes de Travail,6: Personnalisation de l'apprentissage,comme un professeur particulier,D2SN1_segment_3.txt
D2SN1,3: Impact de Chat GPT sur les Habitudes de Travail,7: Évolution de l'utilisation,"Comment j'évoluerai cela ? Bah, j'essaie vraiment de donner un maximum de contexte",D2SN1_segment_3.txt
D2SN1,3: Impact de Chat GPT sur les Habitudes de Travail,8: Complémentarité avec d'autres outils,je fais des recherches sur internet pour vérifier,D2SN1_segment_3.txt
D2SN1,3: Impact de Chat GPT sur les Habitudes de Travail,9: Satisfaction globale,"totalement, je dirais que ouais",D2SN1_segment_3.txt
D2SN1,3: Impact de Chat GPT sur les Habitudes de Travail,10: Perception de l'utilité,c'est un gain de temps,D2SN1_segment_3.txt
D2SN1,4: Rôle de Chat GPT dans l'Accompagnement Académique,3: Qualité de l'explication,Chat GPT arrive à donner une réponse ou bien une explication qui est beaucoup plus vulgarisée,D2SN1_segment_3.txt
D2SN1,4: Rôle de Chat GPT dans l'Accompagnement Académique,4: Utilité pour les recherches,pour des recherches qui sont poussées,D2SN1_segment_3.txt
D2SN1,4: Rôle de Chat GPT dans l'Accompagnement Académique,5: Complémentarité avec l'enseignement,on a un professeur qui présente son module en une semaine,D2SN1_segment_3.txt
D2SN1,4: Rôle de Chat GPT dans l'Accompagnement Académique,6: Perception de l'interviewé,"totalement, Totalement",D2SN1_segment_3.txt
D2SN1,4: Rôle de Chat GPT dans l'Accompagnement Académique,8: Rôle dans la méthode de travail,ça m'aide plutôt,D2SN1_segment_3.txt
D2SN1,5: Perception et Utilisation de l'IA dans l'Éducation,1: Adoption de l'IA,il y a beaucoup d'IA mis à part Chat GPT,D2SN1_segment_3.txt
D2SN1,5: Perception et Utilisation de l'IA dans l'Éducation,2: Comparaison entre différentes IA,"je travaille avec les autres IA, d'autres sociétés",D2SN1_segment_3.txt
D2SN1,5: Perception et Utilisation de l'IA dans l'Éducation,3: Perception de l'IA comme outil,un robot qu'on a à la maison,D2SN1_segment_3.txt
D2SN1,5: Perception et Utilisation de l'IA dans l'Éducation,6: Intégration dans les pratiques académiques,je fais en sorte aussi de travailler avec les autres IA,D2SN1_segment_3.txt
D2SN1,5: Perception et Utilisation de l'IA dans l'Éducation,8: Évolution future,beaucoup de sociétés ont lancé leur LLM,D2SN1_segment_3.txt
D2SN1,1 : L'utilité de Chat GPT dans les recherches,1: Capacité de recherche avancée,c'est très impressionnant de voir que Nia que Nia peut fournir cette charge de travail et cette qualité de travail,D2SN1_segment_4.txt
D2SN1,1 : L'utilité de Chat GPT dans les recherches,2: Qualité des rapports générés,des rapports qui sont très complets de chat GPT pour des recherches poussées,D2SN1_segment_4.txt
D2SN1,1 : L'utilité de Chat GPT dans les recherches,3: Comparaison avec des cabinets de conseil,"je j'ai jamais sollicité un rapport de cabinet de conseil ou autre, mais c'est des rapports qui sont très complets",D2SN1_segment_4.txt
D2SN1,1 : L'utilité de Chat GPT dans les recherches,4: Innovation technologique,CH GPT a sorti sa dernière fonctionnalité de deep search où c'est très poussé franchement,D2SN1_segment_4.txt
D2SN1,1 : L'utilité de Chat GPT dans les recherches,5: Automatisation du travail,c'est comme si on avait un cabinet de conseil qui fait le travail à votre place,D2SN1_segment_4.txt
D2SN1,1 : L'utilité de Chat GPT dans les recherches,6: Gain de temps,cette charge de travail et cette qualité de travail,D2SN1_segment_4.txt
D2SN1,1 : L'utilité de Chat GPT dans les recherches,7: Expertise de Chat GPT,c'est très impressionnant de voir que Nia peut fournir cette qualité de travail,D2SN1_segment_4.txt
D2SN1,1 : L'utilité de Chat GPT dans les recherches,8: Impact sur le travail académique,pour des recherches poussées qui sont très... c'est très impressionnant,D2SN1_segment_4.txt
D2SN1,1 : L'utilité de Chat GPT dans les recherches,9: Perception de l'utilité,je pense que ça donne un avantage sur les autres étudiants,D2SN1_segment_4.txt
D2SN1,1 : L'utilité de Chat GPT dans les recherches,10: Technologie du 21e siècle,c'est une technologie du 21e siècle,D2SN1_segment_4.txt
D2SN1,2 : L'avantage compétitif apporté par Chat GPT,2: Compréhension de la technologie,toute personne devrait comprendre comment fonctionnent les IA,D2SN1_segment_4.txt
D2SN1,2 : L'avantage compétitif apporté par Chat GPT,3: Utilisation efficace de la technologie,et comment solliciter au mieux cette technologie là,D2SN1_segment_4.txt
D2SN1,2 : L'avantage compétitif apporté par Chat GPT,4: Travail de qualité,et faire en sorte de bien travailler avec,D2SN1_segment_4.txt
D2SN1,2 : L'avantage compétitif apporté par Chat GPT,5: Importance de l'IA,c'est la technologie du 21e siècle,D2SN1_segment_4.txt
D2SN1,2 : L'avantage compétitif apporté par Chat GPT,6: Nécessité d'adaptation,je pense que toute personne devrait comprendre comment fonctionnent les IA,D2SN1_segment_4.txt
D2SN1,2 : L'avantage compétitif apporté par Chat GPT,7: Futur de l'éducation,c'est la technologie du 21e siècle et je pense que toute personne devrait comprendre,D2SN1_segment_4.txt
D2SN1,2 : L'avantage compétitif apporté par Chat GPT,8: Avantage pour les utilisateurs,ça donne un avantage sur les autres étudiants et sur toutes les autres personnes qui n'utilisent pas l'IA,D2SN1_segment_4.txt
D2SN1,2 : L'avantage compétitif apporté par Chat GPT,9: Utilisation par les étudiants,les autres étudiants et sur toutes les autres personnes qui n'utilisent pas l'IA,D2SN1_segment_4.txt
D2SN1,3 : La dépendance à Chat GPT dans le travail académique,1: Dépendance avouée,"oui, totalement",D2SN1_segment_4.txt
D2SN1,3 : La dépendance à Chat GPT dans le travail académique,2: Fénéantise induite par Chat GPT,ça rejoint le point de la fénéantise,D2SN1_segment_4.txt
D2SN1,3 : La dépendance à Chat GPT dans le travail académique,3: Impact sur l'efficacité,ça serait une grande frustration pour tous les élèves et on serait beaucoup moins efficace,D2SN1_segment_4.txt
D2SN1,3 : La dépendance à Chat GPT dans le travail académique,4: Effet sur la recherche personnelle,"on réfléchit moins, on recherche moins les choses étant donné qu'on a ces réponses",D2SN1_segment_4.txt
D2SN1,3 : La dépendance à Chat GPT dans le travail académique,5: Dépendance généralisée,tous les élèves utilisent chat GPT,D2SN1_segment_4.txt
D2SN1,3 : La dépendance à Chat GPT dans le travail académique,6: Vide créé par l'absence de Chat GPT,ça serait un grand vide dans nos études,D2SN1_segment_4.txt
D2SN1,3 : La dépendance à Chat GPT dans le travail académique,7: Utilisation régulière,je dépends beaucoup de chat GPT,D2SN1_segment_4.txt
D2SN1,3 : La dépendance à Chat GPT dans le travail académique,8: Honnêteté sur la dépendance,"pour être tout à fait honnête, il y a une grande dépendance de moi et de grande partie des étudiants à Chat GPT",D2SN1_segment_4.txt
D2SN1,3 : La dépendance à Chat GPT dans le travail académique,9: Effet sur la pensée critique,on réfléchit moins,D2SN1_segment_4.txt
D2SN1,3 : La dépendance à Chat GPT dans le travail académique,10: Impact sur les habitudes de travail,on serait déboussolé,D2SN1_segment_4.txt
D2SN1,4 : La perception des enseignants sur l'utilisation de Chat GPT,1: Variété des réactions des enseignants,ça dépend vraiment du profil du professeur,D2SN1_segment_4.txt
D2SN1,4 : La perception des enseignants sur l'utilisation de Chat GPT,2: Professeurs technophiles,vous avez le technophile qui vous incite à utiliser cette technologie,D2SN1_segment_4.txt
D2SN1,4 : La perception des enseignants sur l'utilisation de Chat GPT,3: Professeurs réfractaires,il y a des professeurs qui sont un peu de la vieille école qui n'aiment pas du tout voir,D2SN1_segment_4.txt
D2SN1,4 : La perception des enseignants sur l'utilisation de Chat GPT,4: Interdiction de l'utilisation,qui interdisent l'utilisation de cette technologie,D2SN1_segment_4.txt
D2SN1,4 : La perception des enseignants sur l'utilisation de Chat GPT,5: Encouragement à l'utilisation,les autres professeurs qui poussent à l'utilisation de la technologie,D2SN1_segment_4.txt
D2SN1,4 : La perception des enseignants sur l'utilisation de Chat GPT,6: Évolution avec la technologie,faut évoluer avec la technologie,D2SN1_segment_4.txt
D2SN1,4 : La perception des enseignants sur l'utilisation de Chat GPT,7: Comparaison avec d'autres outils,"c'est comme si je vous disais aujourd'hui vous avez une calculatrice, ne l'utilisez pas",D2SN1_segment_4.txt
D2SN1,4 : La perception des enseignants sur l'utilisation de Chat GPT,8: Pertinence de l'utilisation,"calculer de tête, ce n’est pas très pertinent",D2SN1_segment_4.txt
D2SN1,4 : La perception des enseignants sur l'utilisation de Chat GPT,9: Alignement sur le progrès,je suis plutôt de ce deuxième avis,D2SN1_segment_4.txt
D2SN1,5 : L'acceptabilité de Chat GPT dans différents contextes,1: Acceptabilité générale,"dans tous les contextes, mis à part des contextes d'examen",D2SN1_segment_4.txt
D2SN1,5 : L'acceptabilité de Chat GPT dans différents contextes,2: Exception pour les examens,peut-être d'examen parce que ce serait trop facile,D2SN1_segment_4.txt
D2SN1,5 : L'acceptabilité de Chat GPT dans différents contextes,3: Flexibilité des enseignants,il y a même des professeurs qui autorisent l'utilisation de cette technologie même en examen,D2SN1_segment_4.txt
D2SN1,5 : L'acceptabilité de Chat GPT dans différents contextes,4: Utilisation libre,je pense qu'elle devrait être autorisée dans tous les contextes mis à part celui-ci,D2SN1_segment_4.txt
D2SN1,5 : L'acceptabilité de Chat GPT dans différents contextes,5: Règlement sur l'utilisation,il y a même des professeurs qui j'ai vu après c'est très rare qui autorisent l'utilisation de cette technologie même en examen,D2SN1_segment_4.txt
D2SN1,5 : L'acceptabilité de Chat GPT dans différents contextes,6: Contextualisation de l'utilisation,dans quel contexte je dirais que c'est acceptable,D2SN1_segment_4.txt
D2SN1,5 : L'acceptabilité de Chat GPT dans différents contextes,7: Autonomie de l'étudiant,dans tous les contextes,D2SN1_segment_4.txt
D2SN1,5 : L'acceptabilité de Chat GPT dans différents contextes,8: Limites de l'utilisation,mis à part des contextes d'examen,D2SN1_segment_4.txt
D2SN1,5 : L'acceptabilité de Chat GPT dans différents contextes,9: Évolution des pratiques,je pense qu'elle devrait être autorisée,D2SN1_segment_4.txt
D2SN1,1: L'évolution des pratiques d'apprentissage,1: Adaptation aux nouvelles technologies,les pratiques d'apprentissage sont beaucoup plus orientés vers ces technologies là,D2SN1_segment_5.txt
D2SN1,1: L'évolution des pratiques d'apprentissage,2: Futur des pratiques d'apprentissage,dans les prochaines années,D2SN1_segment_5.txt
D2SN1,1: L'évolution des pratiques d'apprentissage,3: Généralisation de l'usage de l'intelligence artificielle,"tous les étudiants, tous les professionnels euh se forment à l'utilisation de chat GPT",D2SN1_segment_5.txt
D2SN1,1: L'évolution des pratiques d'apprentissage,4: Nécessité de formation,faudra vraiment que tout euh toutes les personnes... se forment,D2SN1_segment_5.txt
D2SN1,1: L'évolution des pratiques d'apprentissage,5: Champ d'application de l'intelligence artificielle,dans nos dans nos études ou dans notre travail,D2SN1_segment_5.txt
D2SN1,1: L'évolution des pratiques d'apprentissage,6: Impact sur l'efficacité,"gagner du temps, d'être plus efficace",D2SN1_segment_5.txt
D2SN1,1: L'évolution des pratiques d'apprentissage,7: Tendances dans l'enseignement,les pratiques d'apprentissage euh doivent être orienté vers ce sujet,D2SN1_segment_5.txt
